occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R007-00027,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R007,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R007-00028,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R007,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R007-00029,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R007,Ulva lactuca,urn:lsid:marinespecies.org:taxname:145984,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R008-00030,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R008,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R009-00031,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R009,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R009-00032,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R009,Cyanophyceae,urn:lsid:marinespecies.org:taxname:146542,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R010-00033,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R010,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R010-00034,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R010,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R001-00035,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R001,Grapsus grapsus,urn:lsid:marinespecies.org:taxname:422188,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R001-00036,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R001,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R002-00037,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R002,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R003-00038,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R003,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R003-00039,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R003,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R003-00040,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R003,Cyanophyceae,urn:lsid:marinespecies.org:taxname:146542,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R004-00041,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R004,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R005-00042,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R005,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R006-00043,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R006,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R007-00044,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R007,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R008-00045,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R008,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R008-00046,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R008,Cyanophyceae,urn:lsid:marinespecies.org:taxname:146542,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R009-00047,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R009,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R010-00048,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_MIDTIDE_R010,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R002-00001,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R002,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R002-00002,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R002,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R003-00003,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R003,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R005-00004,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R005,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R006-00005,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R006,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R007-00006,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R007,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R008-00007,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R008,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R009-00008,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R009,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R009-00009,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R009,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R010-00010,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R010,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R010-00011,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_HIGHTIDE_R010,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R001-00012,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R001,Gelidiella acerosa,urn:lsid:marinespecies.org:taxname:145567,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R001-00013,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R001,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R002-00014,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R002,Amphiroa,urn:lsid:marinespecies.org:taxname:144003,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R002-00015,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R002,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R002-00016,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R002,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R003-00017,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R003,Amphiroa,urn:lsid:marinespecies.org:taxname:144003,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R003-00018,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R003,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R003-00019,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R003,Cyanophyceae,urn:lsid:marinespecies.org:taxname:146542,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R003-00020,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R003,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R004-00021,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R004,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R005-00022,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R005,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R005-00023,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R005,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R006-00024,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R006,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R006-00025,BRAZIL_FERNANDODENORONHA_CAIEIRAS_20190224_LOWTIDE_R006,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
