occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003-00081,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003-00082,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003-00083,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003-00084,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R003-00085,BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R003,Tetraclita stalactifera,urn:lsid:marinespecies.org:taxname:421131,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003-00086,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003,Tetraclita stalactifera,urn:lsid:marinespecies.org:taxname:421131,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003-00087,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003,Tetraclita stalactifera,urn:lsid:marinespecies.org:taxname:421131,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003-00088,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003,Ulva lactuca,urn:lsid:marinespecies.org:taxname:145984,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003-00089,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003,Ulva lactuca,urn:lsid:marinespecies.org:taxname:145984,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003-00090,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R003,Perna perna,urn:lsid:marinespecies.org:taxname:140483,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R004-00091,BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R004,Echinolittorina lineolata,urn:lsid:marinespecies.org:taxname:446863,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R004-00092,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R004,Echinolittorina lineolata,urn:lsid:marinespecies.org:taxname:446863,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R004-00093,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R004,Echinolittorina lineolata,urn:lsid:marinespecies.org:taxname:446863,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R004-00094,BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R004,Lottia subrugosa,urn:lsid:marinespecies.org:taxname:594482,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R004-00095,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R004,Lottia subrugosa,urn:lsid:marinespecies.org:taxname:594482,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R004-00096,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R004,Lottia subrugosa,urn:lsid:marinespecies.org:taxname:594482,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R004-00097,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R004,Lottia subrugosa,urn:lsid:marinespecies.org:taxname:594482,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R004-00098,BRAZIL_ARRAIALDOCABO_ATALAIA_20181205_HIGHTIDE_R004,Chthamalus bisinuatus,urn:lsid:marinespecies.org:taxname:733187,HumanObservation,present
BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R004-00099,BRAZIL_ARRAIALDOCABO_ATALAIA_20190307_HIGHTIDE_R004,Chthamalus bisinuatus,urn:lsid:marinespecies.org:taxname:733187,HumanObservation,present
